Token	True Label	Predicted Label
-	O	O
b	O	O
,	O	O
nf	O	O
-	O	O
kb	O	O
,	O	O
mtor	O	O
,	O	O
pcna	O	O
,	O	O
tp53	O	O
,	O	O
kim	O	B-chem
-	O	O
1	O	O
,	O	O
and	O	O
ctgf	O	O
as	O	O
relevant	O	O
gene	O	O
and	O	O
protein	O	O
changes	O	O
.	O	O

prolonged	O	O
csa	B-chem	B-chem
exposure	O	O
aggravated	O	O
renal	O	O
damage	O	O
,	O	O
without	O	O
clear	O	O
changes	O	O
on	O	O
the	O	O
traditional	O	O
markers	O	O
,	O	O
but	O	O
with	O	O
changes	O	O
in	O	O
serums	O	O
tgf	O	B-chem
-	O	O
b	O	O
and	O	O
il	O	O
-	O	O
7	O	O
,	O	O
tbars	O	O
clearance	O	O
,	O	O
and	O	O
kidney	O	O
tgf	O	B-chem
-	O	O
b	O	O
and	O	O
mtor	O	O
.	O	O

conversion	O	O
to	O	O
srl	B-chem	B-chem
prevented	O	O
csa	B-chem	B-chem
-	O	O
induced	O	O
renal	O	O
damage	O	O
evolution	O	O
(	O	O
absent	O	O
/	O	O
mild	O	O
grade	O	O
lesions	O	O
)	O	O
,	O	O
while	O	O
ngal	O	O
(	O	O
serum	O	O
versus	O	O
urine	O	O
)	O	O
seems	O	O
to	O	O
be	O	O
a	O	O
feasible	O	O
biomarker	O	O
of	O	O
csa	B-chem	B-chem
replacement	O	O
to	O	O
srl	B-chem	B-chem
.	O	O

kinin	O	O
b2	O	O
receptor	O	O
deletion	O	O
and	O	O
blockage	O	B-chem
ameliorates	O	O
cisplatin	B-chem	B-chem
-	O	O
induced	O	O
acute	O	O
renal	O	O
injury	O	O
.	O	O

cisplatin	B-chem	B-chem
treatment	O	O
has	O	O
been	O	O
adopted	O	O
in	O	O
some	O	O
chemotherapies	O	O
;	O	O
however	O	O
,	O	O
this	O	O
drug	O	O
can	O	O
induce	O	O
acute	O	O
kidney	O	O
injury	O	O
due	O	O
its	O	O
ability	O	O
to	O	O
negatively	O	O
affect	O	O
renal	O	O
function	O	O
,	O	O
augment	O	O
serum	O	O
levels	O	O
of	O	O
creatinine	B-chem	B-chem
and	O	O
urea	B-chem	B-chem
,	O	O
increase	O	O
the	O	O
acute	O	O
tubular	O	O
necrosis	O	O
score	O	O
and	O	O
up	O	O
-	O	O
regulate	O	O
cytokines	O	O
(	O	O
e	O	O
.	O	O
g	O	O
.	O	O
,	O	O
il	O	O
-	O	O
1b	O	O
and	O	O
tnf	O	O
-	O	O
a	O	O
)	O	O
.	O	O

the	O	O
kinin	O	O
b2	O	O
receptor	O	O
has	O	O
been	O	O
associated	O	O
with	O	O
the	O	O
inflammation	O	O
process	O	O
,	O	O
as	O	O
well	O	O
as	O	O
the	O	O
regulation	O	O
of	O	O
cytokine	O	O
expression	O	O
,	O	O
and	O	O
its	O	O
deletion	O	O
resulted	O	O
in	O	O
an	O	O
improvement	O	O
in	O	O
the	O	O
diabetic	O	O
nephropathy	O	O
status	O	O
.	O	O

to	O	O
examine	O	O
the	O	O
role	O	O
of	O	O
the	O	O
kinin	O	O
b2	O	O
receptor	O	O
in	O	O
cisplatin	B-chem	B-chem
-	O	O
induced	O	O
acute	O	O
kidney	O	O
injury	O	O
,	O	O
kinin	O	O
b2	O	O
receptor	O	O
knockout	O	O
mice	O	O
were	O	O
challenged	O	O
with	O	O
cisplatin	B-chem	B-chem
.	O	O

additionally	O	O
,	O	O
wt	O	O
mice	O	O
were	O	O
treated	O	O
with	O	O
a	O	O
b2	O	O
receptor	O	O
antagonist	O	O
after	O	O
cisplatin	B-chem	B-chem
administration	O	O
.	O	O

b2	O	O
receptor	O	O
-	O	O
deficient	O	O
mice	O	O
were	O	O
less	O	O
sensitive	O	O
to	O	O
this	O	O
drug	O	O
than	O	O
the	O	O
wt	O	O
mice	O	O
,	O	O
as	O	O
shown	O	O
by	O	O
reduced	O	O
weight	O	O
loss	O	O
,	O	O
better	O	O
preservation	O	O
of	O	O
kidney	O	O
function	O	O
,	O	O
down	O	O
regulation	O	O
of	O	O
inflammatory	O	O
cytokines	O	O
and	O	O
less	O	O
acute	O	O
tubular	O	O
necrosis	O	O
.	O	O

moreover	O	O
,	O	O
treatment	O	O
with	O	O
the	O	O
kinin	O	O
b2	O	O
receptor	O	O
antagonist	O	O
effectively	O	O
reduced	O	O
the	O	O
levels	O	O
of	O	O
serum	O	O
creatinine	B-chem	B-chem
and	O	O
blood	O	B-chem
urea	B-chem	I-chem
after	O	O
cisplatin	B-chem	B-chem
administration	O	O
.	O	O

thus	O	O
,	O	O
our	O	O
data	O	O
suggest	O	O
that	O	O
the	O	O
kinin	O	O
b2	O	O
receptor	O	O
is	O	O
involved	O	O
in	O	O
cisplatin	B-chem	B-chem
-	O	O
induced	O	O
acute	O	O
kidney	O	O
injury	O	O
by	O	O
mediating	O	O
the	O	O
necrotic	O	O
process	O	O
and	O	O
the	O	O
expression	O	O
of	O	O
inflammatory	O	O
cytokines	O	O
,	O	O
thus	O	O
resulting	O	O
in	O	O
declined	O	O
renal	O	O
function	O	O
.	O	O

these	O	O
results	O	O
highlight	O	O
the	O	O
kinin	O	O
b2	O	O
receptor	O	O
antagonist	O	O
treatment	O	O
in	O	O
amelioration	O	O
of	O	O
nephrotoxicity	O	O
induced	O	O
by	O	O
cisplatin	B-chem	B-chem
therapy	O	O
.	O	O

safety	O	O
and	O	O
efficacy	O	O
of	O	O
fluocinolone	B-chem	B-chem
acetonide	I-chem	I-chem
intravitreal	O	O
implant	O	O
(	O	O
0	O	O
.	O	O
59	O	O
mg	O	O
)	O	O
in	O	O
birdshot	O	O
retinochoroidopathy	O	O
.	O	O

purpose	O	O
:	O	O

to	O	O
report	O	O
the	O	O
treatment	O	O
outcomes	O	O
of	O	O
the	O	O
fluocinolone	B-chem	B-chem
acetonide	I-chem	I-chem
intravitreal	O	O
implant	O	O
(	O	O
0	O	O
.	O	O
59	O	O
mg	O	O
)	O	O
in	O	O
patients	O	O
with	O	O
birdshot	O	O
retinochoroidopathy	O	O
whose	O	O
disease	O	O
is	O	O
refractory	O	O
or	O	O
intolerant	O	O
to	O	O
conventional	O	O
immunomodulatory	O	O
therapy	O	O
.	O	O

methods	O	O
:	O	O

a	O	O
retrospective	O	O
case	O	O
series	O	O
involving	O	O
11	O	O
birdshot	O	O
retinochoroidopathy	O	O
patients	O	O
(	O	O
11	O	O
eyes	O	O
)	O	O
.	O	O

eleven	O	O
patients	O	O
(	O	O
11	O	O
eyes	O	O
)	O	O
underwent	O	O
surgery	O	O
for	O	O
fluocinolone	B-chem	B-chem
acetonide	I-chem	I-chem
implant	O	O
(	O	O
0	O	O
.	O	O
59	O	O
mg	O	O
)	O	O
.	O	O

treatment	O	O
outcomes	O	O
of	O	O
interest	O	O
were	O	O
noted	O	O
at	O	O
baseline	O	O
,	O	O
before	O	O
fluocinolone	B-chem	B-chem
acetonide	I-chem	I-chem
implant	O	O
,	O	O
and	O	O
then	O	O
at	O	O
6	O	O
months	O	O
,	O	O
1	O	O
year	O	O
,	O	O
2	O	O
years	O	O
,	O	O
3	O	O
years	O	O
,	O	O
and	O	O
beyond	O	O
3	O	O
years	O	O
.	O	O

disease	O	O
activity	O	O
markers	O	O
,	O	O
including	O	O
signs	O	O
of	O	O
ocular	O	O
inflammation	O	O
,	O	O
evidence	O	O
of	O	O
retinal	O	O
vasculitis	O	O
,	O	O
swedish	O	O
interactive	O	O
threshold	O	O
algorithm	O	O
-	O	O
short	O	O
wavelength	O	O
automated	O	O
perimetry	O	O
humphrey	O	O
visual	O	O
field	O	O
analysis	O	O
,	O	O
electroretinographic	O	O
parameters	O	O
,	O	O
and	O	O
optical	O	O
coherence	O	O
tomography	O	O
were	O	O
recorded	O	O
.	O	O

data	O	O
on	O	O
occurrence	O	O
of	O	O
cataract	O	O
and	O	O
raised	O	O
intraocular	O	O
pressure	O	O
were	O	O
collected	O	O
in	O	O
all	O	O
eyes	O	O
.	O	O

results	O	O
:	O	O

intraocular	O	O
inflammation	O	O
was	O	O
present	O	O
in	O	O
54	O	O
.	O	O
5	O	O
,	O	O
9	O	O
.	O	O
9	O	O
,	O	O
11	O	O
.	O	O
1	O	O
,	O	O
and	O	O
0	O	O
%	O	O
of	O	O
patients	O	O
at	O	O
baseline	O	O
,	O	O
6	O	O
months	O	O
,	O	O
1	O	O
year	O	O
,	O	O
2	O	O
years	O	O
,	O	O
3	O	O
years	O	O
,	O	O
and	O	O
beyond	O	O
3	O	O
years	O	O
after	O	O
receiving	O	O
the	O	O
implant	O	O
,	O	O
respectively	O	O
.	O	O

active	O	O
vasculitis	O	O
was	O	O
noted	O	O
in	O	O
36	O	O
.	O	O
3	O	O
%	O	O
patients	O	O
at	O	O
baseline	O	O
and	O	O
0	O	O
%	O	O
at	O	O
3	O	O
years	O	O
of	O	O
follow	O	O
-	O	O
up	O	O
.	O	O

more	O	O
than	O	O
20	O	O
%	O	O
(	O	O
47	O	O
.	O	O
61	O	O
-	O	O
67	O	O
.	O	O
2	O	O
%	O	O
)	O	O
reduction	O	O
in	O	O
central	O	O
retinal	O	O
thickness	O	O
was	O	O
noted	O	O
in	O	O
all	O	O
patients	O	O
with	O	O
cystoid	O	O
macular	O	O
edema	O	O
at	O	O
6	O	O
months	O	O
,	O	O
1	O	O
year	O	O
,	O	O
2	O	O
years	O	O
,	O	O
and	O	O
3	O	O
years	O	O
postimplant	O	O
.	O	O

at	O	O
baseline	O	O
,	O	O
54	O	O
.	O	O
5	O	O
%	O	O
patients	O	O
were	O	O
on	O	O
immunomodulatory	O	O
agents	O	O
.	O	O

this	O	O
percentage	O	O
decreased	O	O
to	O	O
45	O	O
.	O	O
45	O	O
,	O	O
44	O	O
.	O	O
4	O	O
,	O	O
and	O	O
14	O	O
.	O	O
28	O	O
%	O	O
at	O	O
1	O	O
year	O	O
,	O	O
2	O	O
years	O	O
,	O	O
and	O	O
3	O	O
years	O	O
postimplant	O	O
,	O	O
respectively	O	O
.	O	O

adverse	O	O
events	O	O
included	O	O
increased	O	O
intraocular	O	O
pressure	O	O
(	O	O
54	O	O
.	O	O
5	O	O
%	O	O
)	O	O
and	O	O
cataract	O	O
formation	O	O
(	O	O
100	O	O
%	O	O
)	O	O
.	O	O

conclusion	O	O
:	O	O

the	O	O
data	O	O
suggest	O	O
that	O	O
fluocinolone	B-chem	B-chem
acetonide	I-chem	I-chem
implant	O	O
(	O	O
0	O	O
.	O	O
59	O	O
mg	O	O
)	O	O
helps	O	O
to	O	O
control	O	O
inflammation	O	O
in	O	O
otherwise	O	O
treatment	O	O
-	O	O
refractory	O	O
cases	O	O
of	O	O
birdshot	O	O
retinochoroidopathy	O	O
.	O	O

it	O	O
is	O	O
associated	O	O
with	O	O
significant	O	O
side	O	O
effects	O	O
of	O	O
cataract	O	O
and	O	O
ocular	O	O
hypertension	O	O
requiring	O	O
treatment	O	O
.	O	O

optimal	O	O
precurarizing	O	O
dose	O	O
of	O	O
rocuronium	B-chem	B-chem
to	O	O
decrease	O	O
fasciculation	O	O
and	O	O
myalgia	O	O
following	O	O
succinylcholine	B-chem	B-chem
administration	O	O
.	O	O

background	O	O
:	O	O
succinylcholine	B-chem	B-chem
commonly	O	O
produces	O	O
frequent	O	O
adverse	O	O
effects	O	O
,	O	O
including	O	O
muscle	O	O
fasciculation	O	O
and	O	O
myalgia	O	O
.	O	O

the	O	O
current	O	O
study	O	O
identified	O	O
the	O	O
optimal	O	O
dose	O	O
of	O	O
rocuronium	B-chem	B-chem
to	O	O
prevent	O	O
succinylcholine	B-chem	B-chem
-	O	O
induced	O	O
fasciculation	O	O
and	O	O
myalgia	O	O
and	O	O
evaluated	O	O
the	O	O
influence	O	O
of	O	O
rocuronium	B-chem	B-chem
on	O	O
the	O	O
speed	O	O
of	O	O
onset	O	O
produced	O	O
by	O	O
succinylcholine	B-chem	B-chem
.	O	O

methods	O	O
:	O	O

this	O	O
randomized	O	O
,	O	O
double	O	O
-	O	O
blinded	O	O
study	O	O
was	O	O
conducted	O	O
in	O	O
100	O	O
patients	O	O
randomly	O	O
allocated	O	O
into	O	O
five	O	O
groups	O	O
of	O	O
20	O	O
patients	O	O
each	O	O
.	O	O

patients	O	O
were	O	O
randomized	O	O
to	O	O
receive	O	O
0	O	O
.	O	O
02	O	O
,	O	O
0	O	O
.	O	O
03	O	O
,	O	O
0	O	O
.	O	O
04	O	O
,	O	O
0	O	O
.	O	O
05	O	O
and	O	O
0	O	O
.	O	O
06	O	O
mg	O	O
/	O	O
kg	O	O
rocuronium	B-chem	B-chem
as	O	O
a	O	O
precurarizing	O	O
dose	O	O
.	O	O

neuromuscular	O	O
monitoring	O	O
after	O	O
each	O	O
precurarizing	O	O
dose	O	O
was	O	O
recorded	O	O
from	O	O
the	O	O
adductor	O	O
pollicis	O	O
muscle	O	O
using	O	O
acceleromyography	O	O
with	O	O
train	O	O
-	O	O
of	O	O
-	O	O
four	O	O
stimulation	O	O
of	O	O
the	O	O
ulnar	O	O
nerve	O	O
.	O	O

all	O	O
patients	O	O
received	O	O
succinylcholine	B-chem	B-chem
1	O	O
.	O	O
5	O	O
mg	O	O
/	O	O
kg	O	O
at	O	O
2	O	O
minutes	O	O
after	O	O
the	O	O
precurarization	O	O
,	O	O
and	O	O
were	O	O
assessed	O	O
the	O	O
incidence	O	O
and	O	O
severity	O	O
of	O	O
fasciculations	O	O
,	O	O
while	O	O
myalgia	O	O
was	O	O
assessed	O	O
at	O	O
24	O	O
hours	O	O
after	O	O
surgery	O	O
.	O	O

results	O	O
:	O	O

the	O	O
incidence	O	O
and	O	O
severity	O	O
of	O	O
visible	O	O
muscle	O	O
fasciculation	O	O
was	O	O
significantly	O	O
less	O	O
with	O	O
increasing	O	O
the	O	O
amount	O	O
of	O	O
precurarizing	O	O
dose	O	O
of	O	O
rocuronium	B-chem	B-chem
(	O	O
p	O	O
<	O	O
0	O	O
.	O	O
001	O	O
)	O	O
.	O	O

those	O	O
of	O	O
myalgia	O	O
tend	O	O
to	O	O
decrease	O	O
according	O	O
to	O	O
increasing	O	O
the	O	O
amount	O	O
of	O	O
precurarizing	O	O
dose	O	O
of	O	O
rocuronium	B-chem	B-chem
,	O	O
but	O	O
there	O	O
was	O	O
no	O	O
significance	O	O
(	O	O
p	O	O
=	O	O
0	O	O
.	O	O
072	O	O
)	O	O
.	O	O

the	O	O
onset	O	O
time	O	O
of	O	O
succinylcholine	B-chem	B-chem
was	O	O
significantly	O	O
longer	O	O
with	O	O
increasing	O	O
the	O	O
amount	O	O
of	O	O
precurarizing	O	O
dose	O	O
of	O	O
rocuronium	B-chem	B-chem
(	O	O
p	O	O
<	O	O
0	O	O
.	O	O
001	O	O
)	O	O
.	O	O

conclusions	O	O
:	O	O

precurarization	O	O
with	O	O
0	O	O
.	O	O
04	O	O
mg	O	O
/	O	O
kg	O	O
rocuronium	B-chem	B-chem
was	O	O
the	O	O
optimal	O	O
dose	O	O
considering	O	O
the	O	O
reduction	O	O
in	O	O
the	O	O
incidence	O	O
and	O	O
severity	O	O
of	O	O
fasciculation	O	O
and	O	O
myalgia	O	O
with	O	O
acceptable	O	O
onset	O	O
time	O	O
,	O	O
and	O	O
the	O	O
safe	O	O
and	O	O
effective	O	O
precurarization	O	O
.	O	O

absence	O	O
of	O	O
pkc	O	O
-	O	O
alpha	O	O
attenuates	O	O
lithium	B-chem	B-chem
-	O	O
induced	O	O
nephrogenic	O	O
diabetes	O	O
insipidus	O	O
.	O	O

lithium	B-chem	B-chem
,	O	O
an	O	O
effective	O	O
antipsychotic	O	O
,	O	O
induces	O	O
nephrogenic	O	O
diabetes	O	O
insipidus	O	O
(	O	O
ndi	O	O
)	O	O
in	O	O
40	O	O
%	O	O
of	O	O
patients	O	O
.	O	O

the	O	O
decreased	O	O
capacity	O	O
to	O	O
concentrate	O	O
urine	O	O
is	O	O
likely	O	O
due	O	O
to	O	O
lithium	B-chem	B-chem
acutely	O	O
disrupting	O	O
the	O	O
camp	B-chem	O
pathway	O	O
and	O	O
chronically	O	O
reducing	O	O
urea	B-chem	B-chem
transporter	O	O
(	O	O
ut	O	O
-	O	O
a1	O	O
)	O	O
and	O	O
water	O	O
channel	O	O
(	O	O
aqp2	O	O
)	O	O
expression	O	O
in	O	O
the	O	O
inner	O	O
medulla	O	O
.	O	O

targeting	O	O
an	O	O
alternative	O	O
signaling	O	O
pathway	O	O
,	O	O
such	O	O
as	O	O
pkc	O	O
-	O	O
mediated	O	O
signaling	O	O
,	O	O
may	O	O
be	O	O
an	O	O
effective	O	O
method	O	O
of	O	O
treating	O	O
lithium	B-chem	B-chem
-	O	O
induced	O	O
polyuria	O	O
.	O	O

pkc	O	B-chem
-	O	O
alpha	O	O
null	O	O
mice	O	O
(	O	O
pkca	O	O
ko	O	O
)	O	O
and	O	O
strain	O	O
-	O	O
matched	O	O
wild	O	O
type	O	O
(	O	O
wt	O	O
)	O	O
controls	O	O
were	O	O
treated	O	O
with	O	O
lithium	B-chem	B-chem
for	O	O
0	O	O
,	O	O
3	O	O
or	O	O
5	O	O
days	O	O
.	O	O

wt	O	O
mice	O	O
had	O	O
increased	O	O
urine	O	O
output	O	O
and	O	O
lowered	O	O
urine	O	O
osmolality	O	O
after	O	O
3	O	O
and	O	O
5	O	O
days	O	O
of	O	O
treatment	O	O
whereas	O	O
pkca	O	O
ko	O	O
mice	O	O
had	O	O
no	O	O
change	O	O
in	O	O
urine	O	O
output	O	O
or	O	O
concentration	O	O
.	O	O

western	O	O
blot	O	O
analysis	O	O
revealed	O	O
that	O	O
aqp2	O	O
expression	O	O
in	O	O
medullary	O	O
tissues	O	O
was	O	O
lowered	O	O
after	O	O
3	O	O
and	O	O
5	O	O
days	O	O
in	O	O
wt	O	O
mice	O	O
;	O	O
however	O	O
,	O	O
aqp2	O	O
was	O	O
unchanged	O	O
in	O	O
pkca	O	O
ko	O	O
.	O	O

similar	O	O
results	O	O
were	O	O
observed	O	O
with	O	O
ut	O	O
-	O	O
a1	O	O
expression	O	O
.	O	O

animals	O	O
were	O	O
also	O	O
treated	O	O
with	O	O
lithium	B-chem	B-chem
for	O	O
6	O	O
weeks	O	O
.	O	O

lithium	B-chem	B-chem
-	O	O
treated	O	O
wt	O	O
mice	O	O
had	O	O
19	O	O
-	O	O
fold	O	O
increased	O	O
urine	O	O
output	O	O
whereas	O	O
treated	O	O
pkca	O	O
ko	O	O
animals	O	O
had	O	O
a	O	O
4	O	O
-	O	O
fold	O	O
increase	O	O
in	O	O
output	O	O
.	O	O

aqp2	O	O
and	O	O
ut	O	O
-	O	O
a1	O	O
expression	O	O
was	O	O
lowered	O	O
in	O	O
6	O	O
week	O	O
lithium	B-chem	B-chem
-	O	O
treated	O	O
wt	O	O
animals	O	O
whereas	O	O
in	O	O
treated	O	O
pkca	O	O
ko	O	O
mice	O	O
,	O	O
aqp2	O	O
was	O	O
only	O	O
reduced	O	O
by	O	O
2	O	O
-	O	O
fold	O	O
and	O	O
ut	O	O
-	O	O
a1	O	O
expression	O	O
was	O	O
unaffected	O	O
.	O	O

urinary	O	O
sodium	B-chem	B-chem
,	O	O
potassium	B-chem	B-chem
and	O	O
calcium	B-chem	B-chem
were	O	O
elevated	O	O
in	O	O
lithium	B-chem	B-chem
-	O	O
fed	O	O
wt	O	O
but	O	O
not	O	O
in	O	O
lithium	B-chem	B-chem
-	O	O
fed	O	O
pkca	O	O
ko	O	O
mice	O	O
.	O	O

our	O	O
data	O	O
show	O	O
that	O	O
ablation	O	O
of	O	O
pkca	O	B-chem
preserves	O	O
aqp2	O	O
and	O	O
ut	O	O
-	O	O
a1	O	O
protein	O	O
expression	O	O
and	O	O
localization	O	O
in	O	O
lithium	B-chem	B-chem
-	O	O
induced	O	O
ndi	O	B-chem
,	O	O
and	O	O
prevents	O	O
the	O	O
development	O	O
of	O	O
the	O	O
severe	O	O
polyuria	O	O
associated	O	O
with	O	O
lithium	B-chem	B-chem
therapy	O	O
.	O	O

is	O	O
dysguesia	O	O
going	O	O
to	O	O
be	O	O
a	O	O
rare	O	O
or	O	O
a	O	O
common	O	O
side	O	O
-	O	O
effect	O	O
of	O	O
amlodipine	B-chem	B-chem
?	O	O

a	O	O
very	O	O
rare	O	O
side	O	O
-	O	O
effect	O	O
of	O	O
amlodipine	B-chem	B-chem
is	O	O
dysguesia	O	O
.	O	O

a	O	O
review	O	O
of	O	O
the	O	O
literature	O	O
produced	O	O
only	O	O
one	O	O
case	O	O
.	O	O

we	O	O
report	O	O
a	O	O
case	O	O
about	O	O
a	O	O
female	O	O
with	O	O
essential	O	O
hypertension	O	O
on	O	O
drug	O	O
treatment	O	O
with	O	O
amlodipine	B-chem	B-chem
developed	O	O
loss	O	O
of	O	O
taste	O	O
sensation	O	O
.	O	O

condition	O	O
moderately	O	O
improved	O	O
on	O	O
stoppage	O	O
of	O	O
the	O	O
drug	O	O
for	O	O
25	O	O
days	O	O
.	O	O

we	O	O
conclude	O	O
that	O	O
amlodipine	B-chem	B-chem
can	O	O
cause	O	O
dysguesia	O	O
.	O	O

here	O	O
,	O	O
we	O	O
describe	O	O
the	O	O
clinical	O	O
presentation	O	O
and	O	O
review	O	O
the	O	O
relevant	O	O
literature	O	O
on	O	O
amlodipine	B-chem	B-chem
and	O	O
dysguesia	O	O
.	O	O

rhabdomyolysis	O	O
in	O	O
association	O	O
with	O	O
simvastatin	B-chem	B-chem
and	O	O
dosage	O	O
increment	O	O
in	O	O
clarithromycin	B-chem	B-chem
.	O	O

clarithromycin	B-chem	B-chem
is	O	O
the	O	O
most	O	O
documented	O	O
cytochrome	O	O
p450	O	O
3a4	O	O
(	O	O
cyp3a4	O	O
)	O	O
inhibitor	O	O
to	O	O
cause	O	O
an	O	O
adverse	O	O
interaction	O	O
with	O	O
simvastatin	B-chem	B-chem
.	O	O

this	O	O
particular	O	O
case	O	O
is	O	O
of	O	O
interest	O	O
as	O	O
rhabdomyolysis	O	O
only	O	O
occurred	O	O
after	O	O
an	O	O
increase	O	O
in	O	O
the	O	O
dose	O	O
of	O	O
clarithromycin	B-chem	B-chem
.	O	O

the	O	O
patient	O	O
developed	O	O
raised	O	O
cardiac	O	O
biomarkers	O	O
without	O	O
any	O	O
obvious	O	O
cardiac	O	O
issues	O	O
,	O	O
a	O	O
phenomenon	O	O
that	O	O
has	O	O
been	O	O
linked	O	O
to	O	O
rhabdomyolysis	O	O
previously	O	O
.	O	O

to	O	O
date	O	O
,	O	O
there	O	O
has	O	O
been	O	O
no	O	O
reported	O	O
effect	O	O
of	O	O
rhabdomyolysis	O	O
on	O	O
the	O	O
structure	O	O
and	O	O
function	O	O
of	O	O
cardiac	O	O
muscle	O	O
.	O	O

clinicians	O	O
need	O	O
to	O	O
be	O	O
aware	O	O
of	O	O
prescribing	O	O
concomitant	O	O
medications	O	O
that	O	O
increase	O	O
the	O	O
risk	O	O
of	O	O
myopathy	O	O
or	O	O
inhibit	O	O
the	O	O
cyp3a4	O	O
enzyme	O	O
.	O	O

our	O	O
case	O	O
suggests	O	O
that	O	O
troponin	O	O
elevation	O	O
could	O	O
be	O	O
associated	O	O
with	O	O
statin	B-chem	B-chem
induced	O	O
rhabdomyolysis	O	O
,	O	O
which	O	O
may	O	O
warrant	O	O
further	O	O
studies	O	O
.	O	O

characterization	O	O
of	O	O
a	O	O
novel	O	O
bche	O	O
"	O	O
"	O	O
"	O	O
"	O	O
silent	O	O
"	O	O
"	O	O
"	O	O
"	O	O
allele	O	O
:	O	O
point	O	O
mutation	O	O
(	O	O
p	O	O
.	O	O

val204asp	O	B-chem
)	O	O
causes	O	O
loss	O	O
of	O	O
activity	O	O
and	O	O
prolonged	O	O
apnea	O	O
with	O	O
suxamethonium	B-chem	B-chem
.	O	O

butyrylcholinesterase	O	O
deficiency	O	O
is	O	O
characterized	O	O
by	O	O
prolonged	O	O
apnea	O	O
after	O	O
the	O	O
use	O	O
of	O	O
muscle	O	O
relaxants	O	O
(	O	O
suxamethonium	B-chem	B-chem
or	O	O
mivacurium	B-chem	B-chem
)	O	O
in	O	O
patients	O	O
who	O	O
have	O	O
mutations	O	O
in	O	O
the	O	O
bche	O	O
gene	O	O
.	O	O

here	O	O
,	O	O
we	O	O
report	O	O
a	O	O
case	O	O
of	O	O
prolonged	O	O
neuromuscular	O	O
block	O	O
after	O	O
administration	O	O
of	O	O
suxamethonium	B-chem	B-chem
leading	O	O
to	O	O
the	O	O
discovery	O	O
of	O	O
a	O	O
novel	O	O
bche	O	O
variant	O	O
(	O	O
c	O	O
.	O	O
695t	O	O
>	O	O

a	O	O
,	O	O
p	O	O
.	O	O

val204asp	O	O
)	O	O
.	O	O

inhibition	O	O
studies	O	O
,	O	O
kinetic	O	O
analysis	O	O
and	O	O
molecular	O	O
dynamics	O	O
were	O	O
undertaken	O	O
to	O	O
understand	O	O
how	O	O
this	O	O
mutation	O	O
disrupts	O	O
the	O	O
catalytic	O	O
triad	O	O
and	O	O
determines	O	O
a	O	O
"	O	O
"	O	O
"	O	O
"	O	O
silent	O	O
"	O	O
"	O	O
"	O	O
"	O	O
phenotype	O	O
.	O	O

low	O	O
activity	O	O
of	O	O
patient	O	O
plasma	O	O
butyrylcholinesterase	O	O
with	O	O
butyrylthiocholine	B-chem	B-chem
(	O	O
btc	B-chem	B-chem
)	O	O
and	O	O
benzoylcholine	B-chem	B-chem
,	O	O
and	O	O
values	O	O
of	O	O
dibucaine	B-chem	B-chem
and	O	O
fluoride	B-chem	B-chem
numbers	O	O
fit	O	O
with	O	O
heterozygous	O	O
atypical	O	O
silent	O	O
genotype	O	O
.	O	O

electrophoretic	O	O
analysis	O	O
of	O	O
plasma	O	O
bche	O	O
of	O	O
the	O	O
proband	O	O
and	O	O
his	O	O
mother	O	O
showed	O	O
that	O	O
patient	O	O
has	O	O
a	O	O
reduced	O	O
amount	O	O
of	O	O
tetrameric	O	O
enzyme	O	O
in	O	O
plasma	O	O
and	O	O
that	O	O
minor	O	O
fast	O	O
-	O	O
moving	O	O
bche	O	O
components	O	O
:	O	O
monomer	O	O
,	O	O
dimer	O	O
,	O	O
and	O	O
monomer	O	O
-	O	O
albumin	O	O
conjugate	O	O
are	O	O
missing	O	O
.	O	O

kinetic	O	O
analysis	O	O
showed	O	O
that	O	O
the	O	O
p	O	O
.	O	O

val204asp	O	O
/	O	O
p	O	O
.	O	O

asp70gly	O	O
-	O	O
p	O	O
.	O	O

ala539thr	O	O
bche	O	O
displays	O	O
a	O	O
pure	O	O
michaelian	O	O
behavior	O	O
with	O	O
btc	B-chem	O
as	O	O
the	O	O
substrate	O	O
.	O	O

both	O	O
catalytic	O	O
parameters	O	O
km	O	O
=	O	O
265	O	O
um	O	B-chem
for	O	O
btc	B-chem	O
,	O	O
two	O	O
times	O	O
higher	O	O
than	O	O
that	O	O
of	O	O
the	O	O
atypical	O	O
enzyme	O	O
,	O	O
and	O	O
a	O	O
low	O	O
vmax	O	O
are	O	O
consistent	O	O
with	O	O
the	O	O
absence	O	O
of	O	O
activity	O	O
against	O	O
suxamethonium	B-chem	B-chem
.	O	O

molecular	O	O
dynamic	O	O
(	O	O
md	O	O
)	O	O
simulations	O	O
showed	O	O
that	O	O
the	O	O
overall	O	O
effect	O	O
of	O	O
the	O	O
mutation	O	O
p	O	O
.	O	O

val204asp	O	O
is	O	O
disruption	O	O
of	O	O
hydrogen	B-chem	O
bonding	O	O
between	O	O
gln223	O	O
and	O	O
glu441	O	O
,	O	O
leading	O	O
ser198	O	O
and	O	O
his438	O	O
to	O	O
move	O	O
away	O	O
from	O	O
each	O	O
other	O	O
with	O	O
subsequent	O	O
